#
# 2016
#
RunIISummer16NanoAODv6_DYJetsToLL_M-50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8	6077.22
RunIISummer16NanoAODv6_DYJetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	6077.22
#
RunIISummer16NanoAODv6_DY1JetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	1012.
RunIISummer16NanoAODv6_DY2JetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	335.
RunIISummer16NanoAODv6_DY3JetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	102.
RunIISummer16NanoAODv6_DY4JetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	54.
#
RunIISummer16NanoAODv6_DYToLL_0J_13TeV-amcatnloFXFX-pythia8	4833.39
RunIISummer16NanoAODv6_DYToLL_1J_13TeV-amcatnloFXFX-pythia8	889.66
RunIISummer16NanoAODv6_DYToLL_2J_13TeV-amcatnloFXFX-pythia8	354.17
#
RunIISummer16NanoAODv6_WJetsToLNu_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8	61526.7
RunIISummer16NanoAODv6_WJetsToLNu_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	61526.7
#
RunIISummer16NanoAODv6_W1JetsToLNu_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	9493.
RunIISummer16NanoAODv6_W2JetsToLNu_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	3120.
RunIISummer16NanoAODv6_W3JetsToLNu_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	942.3
RunIISummer16NanoAODv6_W4JetsToLNu_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	524.2
#
RunIISummer16NanoAODv6_WToLNu_0J_13TeV-amcatnloFXFX-pythia8	50084.9
RunIISummer16NanoAODv6_WToLNu_1J_13TeV-amcatnloFXFX-pythia8	8262.7
RunIISummer16NanoAODv6_WToLNu_2J_13TeV-amcatnloFXFX-pythia8	3179.1
#
RunIISummer16NanoAODv6_TTJets_TuneCUETP8M1_13TeV-madgraphMLM-pythia8		831.76
#
RunIISummer16NanoAODv6_TTGJets_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8	3.772
RunIISummer16NanoAODv6_TTGG_0Jets_TuneCUETP8M1_13TeV_amcatnlo_madspin_pythia8	0.01731
#
#RunIISummer16NanoAODv6_ST_s-channel_4f_InclusiveDecays_13TeV-amcatnlo-pythia8	30.33
#
RunIISummer16NanoAODv6_ST_t-channel_antitop_4f_inclusiveDecays_13TeV-powhegV2-madspin-pythia8_TuneCUETP8M1	80.95
RunIISummer16NanoAODv6_ST_t-channel_top_4f_inclusiveDecays_13TeV-powhegV2-madspin-pythia8_TuneCUETP8M1		136.02
RunIISummer16NanoAODv6_ST_tW_antitop_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1			35.85
RunIISummer16NanoAODv6_ST_tW_top_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1				35.85
#
RunIISummer16NanoAODv6_TGJets_TuneCUETP8M1_13TeV_amcatnlo_madspin_pythia8	2.967
#
RunIISummer16NanoAODv6_WW_TuneCUETP8M1_13TeV-pythia8	118.7
RunIISummer16NanoAODv6_WZ_TuneCUETP8M1_13TeV-pythia8	47.13
RunIISummer16NanoAODv6_ZZ_TuneCUETP8M1_13TeV-pythia8	16.523
#
RunIISummer16NanoAODv6_WWW_4F_TuneCUETP8M1_13TeV-amcatnlo-pythia8	0.2086
RunIISummer16NanoAODv6_WWZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8		0.1651
RunIISummer16NanoAODv6_WZZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8		0.05565
RunIISummer16NanoAODv6_ZZZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8		0.01398
#
RunIISummer16NanoAODv6_WWG_TuneCUETP8M1_13TeV-amcatnlo-pythia8	0.2147
RunIISummer16NanoAODv6_WZG_TuneCUETP8M1_13TeV-amcatnlo-pythia8	0.04123
#
RunIISummer16NanoAODv6_ZGTo2LG_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8		117.864
RunIISummer16NanoAODv6_ZGToLLG_01J_5f_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8			47.42
RunIISummer16NanoAODv6_ZGToLLG_01J_LoosePtlPtg_5f_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8	124.9
#
#RunIISummer16NanoAODv6_ZGGJetsToLLGG_5f_LO_amcatnloMLM_pythia8		0.6643
RunIISummer16NanoAODv6_ZGGToLLGG_5f_TuneCUETP8M1_13TeV-amcatnlo-pythia8	0.6289
#
RunIISummer16NanoAODv6_WGToLNuG_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8	512.3
RunIISummer16NanoAODv6_WGToLNuG_01J_5f_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8	178.7
RunIISummer16NanoAODv6_WGToLNuG_TuneCUETP8M1_13TeV-madgraphMLM-pythia8		376.9
#
RunIISummer16NanoAODv6_WGG_5f_TuneCUETP8M1_13TeV-amcatnlo-pythia8	1.819
RunIISummer16NanoAODv6_WGGJets_TuneCUETP8M1_13TeV_madgraphMLM_pythia8	1.711
#
# 2017
#
RunIIFall17NanoAODv6_DYJetsToLL_M-50_TuneCP5_13TeV-amcatnloFXFX-pythia8	6077.22
RunIIFall17NanoAODv6_DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8	6077.22
#
RunIIFall17NanoAODv6_DY1JetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8	1012.
RunIIFall17NanoAODv6_DY2JetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8	335.
RunIIFall17NanoAODv6_DY3JetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8	102.
RunIIFall17NanoAODv6_DY4JetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8	54.
#
RunIIFall17NanoAODv6_DYJetsToLL_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8	4833.39
RunIIFall17NanoAODv6_DYJetsToLL_1J_TuneCP5_13TeV-amcatnloFXFX-pythia8	889.66
RunIIFall17NanoAODv6_DYJetsToLL_2J_TuneCP5_13TeV-amcatnloFXFX-pythia8	354.17
#
RunIIFall17NanoAODv6_WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8	61526.7
#
RunIIFall17NanoAODv6_W1JetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8	9493.
RunIIFall17NanoAODv6_W2JetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8	3120.
RunIIFall17NanoAODv6_W3JetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8	942.3
